"ID","Created Date","Updated Date","Owner","courts","Publish Date","Unpublish Date","Status"
"053f1425-6e64-4199-a646-3d43e2414ec5",2023-07-19T08:58:49Z,2023-07-19T08:58:49Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Bhusawal Railway Court - Maharashtra - India",2023-07-19T08:58:49Z,,"PUBLISHED"
"0546c982-d42a-4474-8cd6-96cc3de57b9c",2023-07-19T08:58:59Z,2023-07-19T08:58:59Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","District and Session Court, Datia District and Session Court, Datia - Madhya Pradesh - India",2023-07-19T08:58:59Z,,"PUBLISHED"
"054bb571-b29f-466b-bdb1-251821207ce0",2023-07-19T08:58:54Z,2023-07-19T08:58:54Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Combined Courts, Kangeyam - Tamil Nadu - India",2023-07-19T08:58:54Z,,"PUBLISHED"
"054df72b-ea68-4ea5-8b74-ca044e346176",2023-07-19T08:59:19Z,2023-07-19T08:59:19Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","TARAPUR, ANAND - Gujarat - India",2023-07-19T08:59:19Z,,"PUBLISHED"
"055ee76e-eff1-46b0-a674-45df1cd0a854",2023-07-19T08:59:15Z,2023-07-19T08:59:15Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Prl JCJ Court Dhone - Andhra Pradesh - India",2023-07-19T08:59:15Z,,"PUBLISHED"
"057e941d-47c2-4908-8c58-79a6a2e6ca30",2023-07-19T08:59:08Z,2023-07-19T08:59:08Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Khultabad, Civil and Criminal Court - Maharashtra - India",2023-07-19T08:59:08Z,,"PUBLISHED"
"05897ae4-8c42-4e75-9307-4bcc49bafb18",2023-07-19T08:59:10Z,2023-07-19T08:59:10Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Magistrate Court, Polur - Tamil Nadu - India",2023-07-19T08:59:10Z,,"PUBLISHED"
"0593b75f-604c-447f-b0a2-c5cad7e12806",2023-07-19T08:58:57Z,2023-07-19T08:58:57Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Court of Senior Civil Judge, Puttur (Taluka) - Andhra Pradesh - India",2023-07-19T08:58:57Z,,"PUBLISHED"
"059e8f21-d853-4973-a839-3174fa143cb7",2023-07-19T08:58:55Z,2023-07-19T08:58:55Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Court Centre, Pathanapuram - Kerala - India",2023-07-19T08:58:55Z,,"PUBLISHED"
"05c6fb2f-bc9f-4f70-9f23-1bba8a3bf58b",2023-07-19T08:59:07Z,2023-07-19T08:59:07Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Junior Civil Judge’s Court, Venkatagiri (Taluka) - Andhra Pradesh - India",2023-07-19T08:59:07Z,,"PUBLISHED"
